Date,Close
,GOLDBEES.NS
2025-09-24,94.63999938964844
2025-09-25,94.43000030517578
2025-09-26,94.22000122070312
2025-09-29,95.9000015258789
2025-09-30,95.8499984741211
2025-10-01,97.62999725341797
2025-10-03,97.06999969482422
2025-10-06,99.22000122070312
2025-10-07,99.66000366210938
2025-10-08,101.69000244140625
2025-10-09,101.47000122070312
2025-10-10,100.66999816894531
2025-10-13,102.6500015258789
2025-10-14,105.08999633789062
2025-10-15,105.29000091552734
2025-10-16,105.37000274658203
2025-10-17,108.11000061035156
2025-10-20,105.13999938964844
2025-10-21,105.69000244140625
2025-10-23,101.69999694824219
2025-10-27,100.13999938964844
2025-10-28,96.83999633789062
2025-10-29,99.94999694824219
2025-10-30,99.68000030517578
2025-10-31,100.0199966430664
2025-11-03,100.05000305175781
2025-11-04,99.80000305175781
2025-11-06,100.06999969482422
2025-11-07,99.94000244140625
2025-11-10,101.69999694824219
2025-11-11,103.29000091552734
2025-11-12,102.69000244140625
2025-11-13,105.37000274658203
2025-11-14,103.80999755859375
2025-11-17,101.94000244140625
2025-11-18,100.91000366210938
2025-11-19,102.2300033569336
2025-11-20,101.55000305175781
2025-11-21,102.0
2025-11-24,102.2300033569336
2025-11-25,103.45999908447266
2025-11-26,104.18000030517578
2025-11-27,104.11000061035156
2025-11-28,104.62000274658203
2025-12-01,106.72000122070312
2025-12-02,105.62999725341797
2025-12-03,106.51000213623047
2025-12-04,105.91999816894531
2025-12-05,106.88999938964844
2025-12-08,106.8499984741211
2025-12-09,106.27999877929688
2025-12-10,106.2300033569336
2025-12-11,107.1500015258789
2025-12-12,109.61000061035156
2025-12-15,110.94999694824219
2025-12-16,109.55999755859375
2025-12-17,109.98999786376953
2025-12-18,109.87999725341797
2025-12-19,109.81999969482422
2025-12-22,111.38999938964844
2025-12-23,113.0999984741211
2025-12-24,113.20999908447266
2025-12-26,114.30999755859375
2025-12-29,113.02999877929688
2025-12-30,111.16999816894531
2025-12-31,110.11000061035156
2026-01-01,110.5199966430664
2026-01-02,111.81999969482422
2026-01-05,112.91999816894531
2026-01-06,113.13999938964844
2026-01-07,112.91000366210938
2026-01-08,112.29000091552734
2026-01-09,113.61000061035156
2026-01-12,116.76000213623047
2026-01-13,116.37000274658203
2026-01-14,118.01000213623047
2026-01-15,118.01000213623047
2026-01-16,117.77999877929688
2026-01-19,121.0999984741211
2026-01-20,125.86000061035156
2026-01-21,134.97000122070312
2026-01-22,124.33999633789062
2026-01-23,127.41999816894531
2026-01-27,131.4499969482422
2026-01-28,135.82000732421875
2026-01-29,146.52999877929688
2026-01-30,131.1199951171875
2026-02-02,118.66999816894531
2026-02-03,125.19999694824219
2026-02-04,129.60000610351562
2026-02-05,125.22000122070312
2026-02-06,125.04000091552734
2026-02-09,127.9800033569336
2026-02-10,128.33999633789062
2026-02-11,128.6999969482422
2026-02-12,128.52000427246094
2026-02-13,126.0999984741211
2026-02-16,126.91999816894531
2026-02-17,124.58000183105469
2026-02-18,124.63999938964844
2026-02-19,127.08999633789062
2026-02-20,127.54000091552734
2026-02-23,130.0
2026-02-24,131.22000122070312
2026-02-25,131.69000244140625
2026-02-26,130.47999572753906
2026-02-27,131.60000610351562
2026-03-02,138.32000732421875
2026-03-04,133.9600067138672
2026-03-05,132.24000549316406
2026-03-06,130.82000732421875
2026-03-09,131.35000610351562
2026-03-10,132.1999969482422
2026-03-11,132.7100067138672
2026-03-12,132.42999267578125
2026-03-13,130.32000732421875
2026-03-16,127.22000122070312
2026-03-17,128.22000122070312
2026-03-18,127.91000366210938
2026-03-19,121.31999969482422
2026-03-20,121.05999755859375
2026-03-23,110.72000122070312
